Algorithm: PageRank
Damping: 0.850000
Vertex ranks:
0 0.003489
1 0.007764
2 0.011221
3 0.009378
4 0.008548
5 0.011143
6 0.010972
7 0.004608
8 0.003458
9 0.016874
10 0.026353
11 0.017467
12 0.029252
13 0.013934
14 0.026329
15 0.026937
16 0.023919
17 0.006583
18 0.007096
19 0.010920
20 0.008936
21 0.006239
22 0.013527
23 0.019400
24 0.004798
25 0.003539
26 0.004508
27 0.021040
28 0.015014
29 0.011474
30 0.006377
31 0.008488
32 0.012968
33 0.007012
34 0.003487
35 0.003400
36 0.009512
37 0.018335
38 0.012854
39 0.009730
40 0.012568
41 0.012716
42 0.012307
43 0.007690
44 0.004768
45 0.005968
46 0.016942
47 0.014093
48 0.017422
49 0.006436
50 0.005746
51 0.003942
52 0.005269
53 0.005532
54 0.006336
55 0.006885
56 0.003381
57 0.012197
58 0.011620
59 0.006438
60 0.010287
61 0.010955
62 0.010410
63 0.016132
64 0.018291
65 0.009274
66 0.007074
67 0.004506
68 0.002458
69 0.003400
70 0.008261
71 0.003840
72 0.003132
73 0.009590
74 0.004217
75 0.013326
76 0.012828
77 0.006951
78 0.012286
79 0.011945
80 0.006577
81 0.005976
82 0.006579
83 0.004296
84 0.003326
85 0.013641
86 0.013814
87 0.015071
88 0.009702
89 0.011021
90 0.021284
91 0.007531
92 0.012702
93 0.006898
94 0.004432
95 0.007206
96 0.004563
97 0.003439
98 0.002962
99 0.004679
Sum of ranks: 1.000000
Iterations: 22
Converged: true
Execution time: 4.759800 ms
