Algorithm: Kruskal's MST
MST edges:
51309 82898 1
15496 48683 1
7241 91793 1
65130 86869 1
2227 53919 1
33492 88667 1
51292 87084 1
22787 34922 1
22795 26303 1
2224 2273 1
33464 83813 1
7262 11554 1
605 88984 1
5072 73501 1
16629 23708 1
58658 69524 1
16626 17957 1
5032 26672 1
20372 30559 1
38130 64038 1
20391 42336 1
52908 66912 1
58676 88598 1
38084 74737 1
5070 21263 1
20420 69715 1
58654 74751 1
56966 96317 1
66417 99302 1
52887 97688 1
2831 69234 1
16562 57695 1
256 16984 1
66408 97727 1
52872 58043 1
5103 35988 1
52867 69540 1
43721 63064 1
20475 23210 1
38269 77680 1
20225 76283 1
4924 89626 1
38382 61379 1
4932 8655 1
43569 96612 1
4932 79198 1
66518 75493 1
232 49026 1
4959 23669 1
2868 86559 1
16688 19695 1
4977 5184 1
5130 19945 1
66489 73591 1
38256 64194 1
43640 96190 1
239 26141 1
2859 26793 1
66487 94343 1
52945 91526 1
5009 30795 1
244 2405 1
56976 99124 1
16638 24767 1
245 3130 1
20619 24282 1
16437 39948 1
37676 99468 1
37675 94025 1
5238 39281 1
20592 89053 1
37657 81798 1
2785 24854 1
5248 33860 1
16407 93376 1
79827 98606 1
280 1379 1
84477 87388 1
20565 27143 1
5257 15900 1
43845 47609 1
5278 10090 1
16382 21807 1
5278 20733 1
16381 32246 1
37569 46432 1
54760 60600 1
5293 28721 1
52754 91491 1
79745 98630 1
20648 28450 1
2810 36600 1
5131 5768 1
5133 39364 1
16523 18983 1
37888 72228 1
16511 47396 1
94269 99331 1
37872 72777 1
2813 84918 1
5153 36018 1
2812 23323 1
5163 5538 1
5170 45527 1
20223 44389 1
5191 61181 1
16477 28670 1
58784 68382 1
5201 11189 1
16468 24477 1
16463 35733 1
16462 98858 1
20544 26397 1
16458 79654 1
20555 20861 1
16440 58873 1
16921 92806 1
80756 86202 1
16985 40814 1
4718 7579 1
16970 83711 1
38885 89470 1
4731 51386 1
38837 57004 1
16943 55136 1
16935 32420 1
20015 52251 1
43372 45629 1
20024 30807 1
16998 43141 1
16915 17659 1
58434 73541 1
4760 83716 1
20040 81455 1
43393 85397 1
68769 96140 1
58459 96127 1
16891 64680 1
43410 71272 1
38739 65165 1
4784 26358 1
16885 39305 1
178 20647 1
43281 70324 1
68644 89757 1
4648 53266 1
39071 89991 1
58350 99482 1
84068 98661 1
43289 68396 1
39061 98470 1
19880 48655 1
17064 97536 1
4663 50032 1
58359 79502 1
205 684 1
17047 76618 1
39034 67000 1
19898 60603 1
180 260 1
4669 15949 1
19913 61165 1
38998 72866 1
2967 62854 1
19921 92463 1
17013 18650 1
38962 48169 1
38939 39327 1
2890 48429 1
16791 31094 1
53064 74215 1
16780 54987 1
16777 84287 1
57034 69997 1
20188 55858 1
4879 43177 1
20189 77892 1
20191 91571 1
20195 21141 1
4884 7260 1
2892 75965 1
4862 52378 1
4894 8758 1
38461 95089 1
20214 22485 1
53045 55811 1
2886 38256 1
38444 90906 1
53036 79784 1
58569 83418 1
38428 75212 1
38424 70527 1
20219 53250 1
53028 60294 1
2914 10472 1
4798 12397 1
2926 9952 1
205 14602 1
4798 73014 1
16871 48272 1
38652 50964 1
2918 64621 1
16852 97851 1
80545 86955 1
20113 77773 1
94707 97141 1
38627 39513 1
5301 11557 1
4836 23689 1
20125 70753 1
94700 99642 1
20127 59883 1
57043 62623 1
16819 32609 1
2908 31666 1
66606 95780 1
20151 48415 1
94658 95633 1
2904 21880 1
21318 39180 1
15800 20220 1
54840 55847 1
15793 85383 1
21267 26185 1
52324 52842 1
21276 85377 1
59324 81722 1
52315 59807 1
36196 56429 1
65911 73541 1
21313 77405 1
2590 4998 1
56803 92665 1
15744 45897 1
56790 77087 1
84924 94822 1
54842 62362 1
36133 43242 1
44404 54784 1
21345 48884 1
5975 34883 1
15704 27169 1
2580 54845 1
2580 5015 1
21347 74054 1
54832 85275 1
2642 86907 1
15919 79037 1
21120 61636 1
52422 95462 1
5775 55634 1
21131 22513 1
15887 35485 1
44287 51215 1
353 95402 1
2626 18444 1
356 780 1
15867 55926 1
36113 69912 1
36404 42323 1
69510 78322 1
15839 26564 1
5865 45279 1
15834 30019 1
5869 57419 1
59276 74566 1
36316 43247 1
36315 88698 1
44351 64007 1
65944 80029 1
2602 18670 1
21527 63254 1
15600 51500 1
6074 32157 1
35905 94566 1
69653 96596 1
6086 71560 1
44493 62923 1
65828 94761 1
15573 96240 1
6103 11376 1
78530 79922 1
52168 58838 1
52165 84718 1
52207 69389 1
65809 86099 1
52154 57919 1
35761 43130 1
6135 74164 1
65799 76512 1
6138 50771 1
15520 20074 1
6154 56800 1
6156 35769 1
93028 95067 1
21569 24032 1
44554 68652 1
6028 17204 1
69584 99511 1
15695 28655 1
69592 86764 1
386 84938 1
52255 84637 1
6000 13239 1
36064 61277 1
6011 6086 1
52247 93373 1
6015 19131 1
56776 80172 1
36013 49987 1
21098 89435 1
6031 68676 1
35966 37129 1
65854 99099 1
2560 6793 1
21443 81910 1
15620 53952 1
65854 91811 1
21449 25176 1
21449 25574 1
84978 98288 1
6064 67282 1
37227 38060 1
37328 40924 1
58937 98719 1
5395 76052 1
5398 23863 1
16249 99752 1
2746 53555 1
5405 71277 1
52645 61400 1
69210 98241 1
20775 75384 1
37248 62764 1
58972 68685 1
43955 83174 1
20790 33113 1
5449 69752 1
66216 73823 1
52624 88883 1
20802 49521 1
37199 49723 1
5456 58033 1
5459 94767 1
37165 44525 1
2724 3362 1
16177 36444 1
37100 80289 1
5353 18606 1
286 5107 1
2771 2917 1
20664 75142 1
54763 87262 1
20672 33270 1
37476 74165 1
20678 48772 1
37462 53324 1
291 634 1
58913 59085 1
79649 88490 1
20689 87847 1
37094 39886 1
69174 79689 1
5355 17992 1
5356 70490 1
2754 90580 1
58926 81809 1
5376 6348 1
20735 57943 1
20736 36654 1
20741 22343 1
37329 59005 1
299 485 1
299 7662 1
52475 92378 1
5636 22492 1
59125 62528 1
21001 80809 1
330 54317 1
21012 88575 1
16020 89890 1
52489 75792 1
36778 94066 1
332 37983 1
334 6700 1
44156 88726 1
5672 60592 1
20981 85876 1
21039 80552 1
36741 40175 1
5695 33423 1
36702 46227 1
36689 43625 1
21067 73724 1
5732 92671 1
5734 82216 1
36643 78633 1
15939 20931 1
5747 15466 1
54827 57404 1
2695 12457 1
56875 81854 1
37021 77552 1
52580 58685 1
20885 84246 1
37014 38267 1
59051 59605 1
66168 98115 1
59071 71586 1
36953 52540 1
20910 83451 1
69303 76592 1
2695 55372 1
55175 99666 1
16080 27523 1
16073 20332 1
44117 88699 1
59101 74068 1
5608 38091 1
5610 11857 1
36867 40321 1
20960 32080 1
5622 65267 1
36853 37913 1
5630 83697 1
12044 16030 1
62180 88830 1
1052 1596 1
28828 63245 1
9999 36610 1
10003 54226 1
1528 3980 1
28788 83643 1
1522 65471 1
1520 47011 1
1061 34779 1
28753 29732 1
1519 14311 1
9972 19850 1
28731 33100 1
1063 74623 1
74030 93903 1
25861 60935 1
25869 43236 1
49344 50328 1
74016 74818 1
1511 12398 1
25880 41659 1
28691 58681 1
12001 39879 1
73989 90554 1
12135 34583 1
29080 38724 1
9826 19979 1
12185 45367 1
12179 36639 1
55502 55575 1
74209 81122 1
12169 46500 1
28995 78291 1
9876 61905 1
1554 20184 1
89804 97369 1
25699 35370 1
10110 13490 1
9926 14073 1
28919 96892 1
72238 82050 1
9935 35328 1
55945 79806 1
28904 46686 1
28891 72578 1
25732 60801 1
74129 74311 1
25758 33403 1
25764 66567 1
25770 77893 1
28403 74291 1
28489 83875 1
62342 91167 1
28476 64842 1
11886 88138 1
11882 14257 1
10254 15963 1
10259 47874 1
11863 69858 1
10268 83618 1
1467 17209 1
1102 1120 1
10280 33656 1
55900 74944 1
47953 62034 1
26092 49386 1
26108 84371 1
26121 75802 1
11815 59004 1
49189 50584 1
28343 70056 1
47994 97101 1
49181 61490 1
10351 74900 1
10356 21521 1
10360 50144 1
49288 98048 1
10111 80140 1
28668 62197 1
63495 72089 1
55926 61258 1
49308 70956 1
28632 64292 1
25930 67252 1
55547 60762 1
10151 13076 1
47820 48636 1
47825 92234 1
89627 99940 1
12202 61669 1
89610 98126 1
10175 42707 1
28566 50392 1
28552 56384 1
28550 48014 1
47860 81632 1
28548 40193 1
11923 25705 1
49257 51351 1
28499 51126 1
62330 78133 1
90070 97663 1
9464 33643 1
9476 67670 1
974 79328 1
61850 93482 1
29568 56303 1
71971 91638 1
9486 87730 1
12422 35970 1
29559 50099 1
12410 21232 1
25329 75466 1
12395 18997 1
9463 61989 1
25345 49495 1
63738 82367 1
29519 68702 1
9526 9588 1
9526 27746 1
29508 39369 1
25366 97054 1
12370 19099 1
12369 94800 1
9530 50456 1
47405 77890 1
29464 74505 1
29704 41345 1
25174 55202 1
25182 82579 1
47268 50934 1
962 33712 1
9387 53394 1
9389 9902 1
1669 23398 1
1668 65088 1
49736 84895 1
1668 48558 1
9403 12599 1
9405 71909 1
61888 79137 1
29698 47869 1
71897 80541 1
61805 66064 1
29657 31156 1
29656 51673 1
25236 31848 1
1658 8192 1
25244 50478 1
12454 39599 1
12449 20310 1
47337 78268 1
9463 46856 1
47543 49403 1
63662 65951 1
87855 90296 1
29237 29685 1
62027 70486 1
12254 92590 1
47520 89946 1
9715 76665 1
1017 4374 1
49542 51549 1
1591 9330 1
1589 12927 1
25562 34401 1
29259 56187 1
12234 15523 1
63640 95430 1
29177 38466 1
9753 18108 1
9780 92914 1
63638 66134 1
1573 56227 1
55960 94260 1
9791 54163 1
1571 2568 1
9801 26208 1
12203 18897 1
9611 13903 1
12358 90589 1
25400 43963 1
9568 11113 1
12349 28724 1
12345 13998 1
47418 95407 1
9577 12239 1
9578 22063 1
9582 87077 1
996 78560 1
998 1201 1
9604 53609 1
55863 91762 1
1617 7006 1
74392 94804 1
25465 46490 1
29324 32502 1
9648 19017 1
9648 31135 1
63676 83102 1
74351 76580 1
29265 31774 1
9688 51543 1
29263 49106 1
11018 19394 1
26824 58011 1
1210 67713 1
73243 98567 1
48801 76298 1
1211 23205 1
27408 28067 1
27404 90474 1
48794 91808 1
27375 83974 1
11349 12975 1
10995 31742 1
11009 28803 1
27417 95334 1
62886 63888 1
27338 55492 1
11334 40489 1
11334 31380 1
1221 14477 1
27335 48174 1
1222 49811 1
1222 56815 1
27329 49215 1
1223 4692 1
11029 45563 1
48781 67289 1
11407 39806 1
