Algorithm: Kruskal's MST
MST edges:
21658 21664 1
14421 36737 1
31471 41708 1
3847 18652 1
40789 43305 1
7276 17622 1
21639 45721 1
263 547 1
34697 43937 1
14357 47870 1
3884 8048 1
263 12116 1
7304 31225 1
21692 30395 1
95 297 1
14324 18842 1
488 3525 1
3808 23903 1
3805 37640 1
21447 25504 1
14500 25654 1
34523 41084 1
868 2451 1
3964 14928 1
21384 37403 1
7210 39258 1
21391 38724 1
3943 22477 1
21441 33175 1
31378 40596 1
21457 44150 1
14452 43464 1
14442 46627 1
7242 22570 1
21492 25500 1
21493 44206 1
3903 14070 1
3884 49668 1
3704 13400 1
34891 38425 1
3740 35194 1
14159 47630 1
1381 21927 1
7440 47802 1
3725 48180 1
21987 45977 1
829 2204 1
3717 10204 1
31301 42549 1
1390 1798 1
825 16724 1
22059 48758 1
31231 44186 1
14092 39935 1
7465 14686 1
14080 47828 1
3695 25435 1
3772 30696 1
34732 47202 1
7356 31398 1
21756 43858 1
21788 36194 1
14263 38235 1
14256 45897 1
838 11110 1
34814 47697 1
21360 44062 1
34858 37472 1
21860 47773 1
14211 36782 1
14207 48887 1
38045 39636 1
3755 8813 1
14183 24583 1
21910 32418 1
6964 11246 1
6922 13612 1
14977 18642 1
20780 25700 1
14960 25397 1
14952 45888 1
34334 35912 1
41054 43029 1
14934 32354 1
20831 27566 1
20733 32728 1
6965 12610 1
20868 25994 1
4151 36642 1
6969 38542 1
14895 41129 1
1308 49393 1
6981 12810 1
1310 11239 1
43511 49207 1
15096 45932 1
6862 47389 1
34315 48486 1
15068 47427 1
15066 16261 1
4259 7043 1
4251 16625 1
38114 47516 1
15051 19005 1
4127 18747 1
4233 45945 1
114 158 1
4228 49504 1
1293 24241 1
15015 23001 1
20674 44372 1
20688 41958 1
20733 21967 1
14607 30168 1
14666 30524 1
7115 34312 1
7122 39367 1
21222 38809 1
7127 44786 1
34426 40548 1
7133 48066 1
105 7352 1
4006 42025 1
7097 35840 1
21296 39863 1
7162 34579 1
31658 41105 1
21327 30842 1
7179 28768 1
871 3427 1
7189 41072 1
3972 7631 1
14753 31625 1
6997 10887 1
20974 37861 1
7010 10946 1
31750 45031 1
250 313 1
14807 43168 1
4098 4834 1
893 34725 1
44320 45121 1
34372 48054 1
21129 28691 1
14720 32714 1
14716 49690 1
21133 37380 1
4063 23260 1
21142 44098 1
7093 30470 1
13179 41793 1
13244 19655 1
35519 48528 1
758 25004 1
23357 47538 1
13211 47957 1
13210 15978 1
23363 37201 1
30783 49733 1
8060 43758 1
8016 12734 1
754 20484 1
3225 27298 1
8081 21704 1
13148 13414 1
13147 21529 1
