Algorithm: Prim's MST
MST edges:
0 2 1
0 6 2
0 5411 3
2 317 5
317 27574 4
2 2924 8
6 311 9
311 1396 5
317 5145 9
5145 42283 4
42283 25339 5
6 27450 10
27450 45988 7
5411 7177 11
7177 3767 8
317 31573 11
6 39517 11
0 1 13
1 2080 1
1 42842 6
2080 2098 10
5411 20939 13
1 116 14
116 165 8
165 2469 6
2469 7227 3
1 4104 14
4104 8403 3
8403 14232 7
317 27319 14
0 4691 15
45988 6806 15
4691 18498 15
6 291 16
291 2087 2
291 30885 14
30885 34686 5
30885 21481 10
317 1899 16
1899 31380 14
18498 30781 16
2 45711 16
2087 5882 17
0 16657 17
25339 36171 17
21481 2480 19
5145 4539 19
4539 300 7
300 8573 5
8573 20596 3
4539 9829 7
4539 49555 8
9829 49548 13
49548 26258 9
26258 36752 4
9829 43174 17
43174 32081 2
43174 19576 7
19576 5239 6
5239 24780 4
5239 22565 5
32081 6814 9
6814 24768 14
8573 25424 19
300 47573 19
1899 7465 20
7465 14686 1
19576 11623 20
7227 29324 20
29324 21126 3
2 4455 21
5145 24857 21
1396 25821 21
25821 31054 11
31054 29684 1
165 520 23
520 608 8
608 1120 4
1120 7317 6
7317 23517 6
608 1128 9
1120 3972 11
3972 7631 1
7631 11564 4
11564 44290 11
44290 46199 5
7631 13956 12
520 4748 16
608 5470 19
5470 42003 15
42003 32405 14
32405 9937 2
42003 32252 18
32252 2591 12
32252 49955 18
7317 34669 19
5470 30507 21
30507 33626 3
30507 7650 7
7650 825 5
825 16724 1
825 7345 5
16724 19705 15
19705 33222 6
19705 21527 12
19705 29934 16
33626 34269 16
825 25028 18
7345 27216 19
27216 1665 9
1665 38524 4
38524 36093 3
1665 6494 9
27216 8801 10
8801 37662 2
27216 36585 19
8801 39362 19
7650 30378 21
30378 31983 17
31983 39371 21
520 2297 22
4748 9790 22
9790 6832 8
6832 23854 3
23854 4585 3
4585 33918 1
4585 1224 12
1224 227 14
227 25453 3
25453 24222 4
227 972 6
227 1569 6
1569 7504 1
25453 39011 6
39011 10216 9
24222 24202 14
1569 4574 16
4574 6174 4
7504 41018 18
6832 48378 19
1224 2585 20
2585 6542 19
6542 10965 14
6832 8117 20
8117 11130 9
8117 18237 12
11130 14078 20
14078 23388 2
23388 25050 5
23388 20153 19
20153 1141 10
25050 2477 20
227 15360 20
2585 31798 20
20153 43185 20
972 1508 22
1508 2713 9
2713 36850 5
36850 45692 1
2713 16548 14
16548 21429 6
21429 42912 10
42912 17079 18
17079 21638 5
20153 16217 22
16217 5569 17
16217 13639 20
4585 18898 22
972 21104 22
21104 8544 12
8544 44158 4
8544 47840 10
21104 45436 21
30378 36959 22
36959 740 1
36959 4552 3
36959 40674 5
740 1428 8
36959 33045 10
33045 26951 7
740 1217 14
26951 27870 16
26951 6516 21
6516 40237 4
40237 32732 19
1428 1783 23
2924 3532 23
3532 5019 23
5019 13854 15
34686 5436 23
5436 31167 16
5436 12128 18
12128 42865 11
5436 837 20
837 9657 6
837 11884 10
11884 18239 18
9657 29207 21
29207 27591 16
2585 5697 23
5697 10699 8
5697 7809 14
10699 41770 21
7809 4441 23
4441 8249 7
8249 39338 12
8249 43825 13
24202 6523 23
6523 6677 9
6677 42089 9
42089 2721 7
2721 4154 4
2721 3604 22
3604 22351 8
22351 2775 21
4455 20489 23
2087 20901 23
20901 21907 8
21907 47065 6
47065 5539 13
5539 22291 23
1899 35946 23
23388 38367 23
38367 9115 18
9115 11014 14
11014 32719 19
32719 758 21
758 25004 1
758 30575 9
758 385 12
385 14979 2
385 31 11
758 3660 20
3660 15756 3
3660 26437 7
14979 21370 20
21370 31662 6
31662 35883 13
21370 43139 15
35883 17810 19
17810 29305 14
385 23508 21
23508 21860 15
21860 47773 1
23508 14699 20
14699 3143 5
6806 38772 23
5569 39816 23
39816 15801 8
15801 42103 9
39816 11575 15
11575 1007 9
1007 6926 3
11575 3925 10
6926 10087 18
1 643 24
643 28180 5
28180 17866 11
643 6203 16
6203 44629 6
6203 23215 21
23215 10207 10
5569 3804 24
3804 33735 10
33735 3402 10
3402 21579 12
3804 27148 15
27148 28144 19
33735 22068 23
22068 8959 17
2721 4526 24
4526 11435 22
11435 33397 11
33397 34995 13
311 5176 24
5176 31367 2
31367 4414 18
4414 8841 3
4414 30148 17
3532 5181 24
5181 8143 15
42089 7734 24
7734 2522 20
2522 9300 5
16217 14644 24
14644 618 15
618 44944 8
44944 8281 5
618 22890 9
22890 2512 3
2512 40221 12
618 15918 13
2512 11184 16
11184 5018 11
15918 32677 17
32677 15881 5
2512 4381 18
14644 18947 22
825 16573 24
16573 11294 11
11294 49874 23
49874 41339 14
14699 17016 24
10699 18021 24
21579 19255 24
4414 19725 24
20153 34807 24
34807 13795 23
227 92 25
92 48 18
48 57 21
57 41690 2
57 903 12
903 17684 9
57 213 13
213 361 14
41690 1448 14
1448 2938 4
2938 16917 1
16917 32890 1
2938 2640 7
32890 36067 9
2938 42976 11
2640 5241 13
5241 10161 4
10161 36843 14
2640 2948 15
2948 22621 7
2948 8753 14
8753 21551 7
42976 40562 15
40562 31873 9
31873 5206 2
31873 34351 7
34351 47876 2
5206 18740 16
21551 45158 16
5206 8309 20
8309 5640 6
5640 5574 2
5640 7858 6
5574 32821 6
5574 11204 15
11204 357 19
357 1618 5
1618 20459 5
357 2290 7
2290 33025 4
2290 3295 17
3295 7298 3
3295 27540 12
27540 43891 1
357 22968 17
22968 41961 16
357 12079 20
12079 19313 20
19313 22972 14
22972 36501 4
36501 40981 1
36501 3383 6
3383 5510 6
22972 26765 7
36501 12979 10
12979 27602 15
3383 7548 16
7548 12829 17
12829 11466 6
11466 6244 18
22972 980 19
980 32760 2
32760 35531 7
357 4503 21
4503 20757 12
20757 7204 14
7204 43402 4
7204 24875 13
7204 24607 20
213 37121 21
37121 1248 16
213 349 22
12979 4942 22
32890 33377 22
33377 845 19
845 3702 2
3702 39055 4
7298 43193 22
43193 38729 10
361 2195 23
845 16843 23
36067 31366 23
31366 16477 12
10161 12163 24
845 18805 24
18805 41937 13
41937 45597 15
18805 14585 19
14585 18077 16
18077 11234 4
11234 17567 14
18805 37569 19
41937 33054 20
33054 46063 11
33054 27194 13
27194 46804 22
46804 5199 13
46804 47637 22
27194 33893 24
33893 9924 22
9924 7230 10
7230 12357 9
9924 45174 23
33893 13249 24
13249 12249 12
32821 41091 24
10161 5483 25
5483 7519 7
5483 1274 8
5483 14064 8
14064 32301 7
1274 3851 9
3851 3012 4
3851 9359 4
3012 6217 12
6217 31115 12
31115 39542 10
32301 47588 12
14064 26643 13
26643 10864 1
26643 26805 5
26643 26620 13
14064 38024 13
38024 47750 12
39542 12585 17
12585 38486 8
38486 27813 7
38486 45932 15
45932 15096 1
38486 46828 15
1274 30867 18
10864 36020 18
36020 8325 8
8325 29332 13
38486 26674 19
26674 13275 7
13275 15852 6
15852 37644 1
13275 38602 8
38602 49107 1
38602 13651 10
13275 49532 10
13275 21739 11
15852 15386 14
15386 28262 2
15386 11839 14
13651 34245 14
11839 43785 15
43785 38741 9
47750 36785 19
8325 41139 20
26805 17406 21
17406 37830 14
37830 2950 6
2950 46363 1
46363 43199 11
38024 21508 21
3012 4647 22
4647 37768 5
4647 25200 21
25200 45908 2
14064 1226 23
28262 34546 23
8325 47375 23
43785 22299 24
39542 49434 24
49434 20479 5
3851 5732 25
5732 12436 5
12436 29725 6
12436 16921 19
4942 8195 25
14644 12632 25
12632 37210 8
7504 13902 25
13902 9417 3
29684 15850 25
15850 1805 7
21429 16133 25
29684 26246 25
9359 26596 25
4455 29704 25
29704 33413 23
33397 30184 25
17866 36072 25
5181 37716 25
34269 40010 25
45174 42012 25
4574 45452 25
45452 3501 17
3501 13084 19
30507 46011 25
46011 11799 22
22890 46086 25
46086 37899 2
37899 28842 2
28842 44959 2
44959 34566 7
28842 2009 9
28842 4246 14
4246 24813 5
24813 30794 13
2009 24491 15
2009 12547 16
12547 15690 17
15690 1234 9
1234 24961 8
24961 47564 7
47564 45213 9
45213 1748 11
45213 47974 13
47974 8408 4
1234 14373 17
14373 10043 3
10043 5537 10
1234 1733 18
24491 13463 19
44959 17918 21
17918 46527 10
46527 49722 15
1234 6638 22
6638 19605 18
24813 9384 22
9384 26848 3
9384 8584 6
8584 45846 10
17918 6654 23
1234 2055 24
2055 24179 11
8584 39601 24
39601 29249 9
39601 21388 14
21388 14392 5
14392 38574 20
38574 24818 14
24818 128 24
128 334 13
334 528 6
528 11966 3
11966 35959 4
35959 29361 7
29361 30377 9
528 5232 13
528 665 14
665 10338 2
10338 16334 20
665 1702 23
1702 16651 2
16651 6029 4
1702 31445 4
1702 3981 10
3981 16804 9
16804 12536 9
12536 44231 6
3981 44398 17
44398 24829 1
24829 28431 5
16804 2184 18
2184 12867 3
44231 9770 19
44398 18083 21
18083 15418 10
15418 37132 11
37132 5951 12
5951 18297 9
5951 11864 13
18083 27754 13
27754 14667 5
27754 38424 13
38424 36992 6
38424 36480 12
5951 35870 19
35870 49798 19
35870 34571 21
15418 9144 22
34571 31308 22
31308 35852 11
15418 34809 22
34809 8701 21
8701 34751 14
665 32172 23
32172 28296 18
28296 10505 4
10505 11655 4
10505 20222 19
20222 37531 9
37531 34246 1
28296 41995 20
41995 40485 7
40485 24258 17
24258 36783 10
24258 28103 17
40485 37438 17
28103 23533 20
30377 38675 23
28431 4365 24
4365 7192 7
7192 29816 12
7192 20749 13
20749 24436 7
7192 40366 18
4365 15764 19
15764 36134 16
36134 10853 11
7192 974 23
974 2660 1
2660 30681 5
974 40752 11
24436 12219 24
12219 19314 17
40485 38947 24
6654 23724 25
23724 12063 5
23724 6515 25
6515 12421 16
32172 38052 25
45846 46266 25
46266 39080 1
46266 15948 2
15948 5331 9
5331 18218 2
18218 39177 13
39080 39387 13
5331 7935 24
7935 9271 14
9271 5694 3
5694 933 9
933 413 17
413 4738 11
4738 10280 10
413 31509 19
31509 27961 13
27961 28829 1
27961 43330 1
27961 8574 7
10280 34321 19
34321 47000 2
34321 40651 11
34321 21216 12
34321 44781 14
933 1456 21
413 3 22
15948 25764 24
25764 38586 8
3 9959 25
9959 10806 20
9959 24079 24
7935 13622 25
13622 18653 4
6523 46440 25
47573 48479 25
57 153 26
153 5907 12
153 41793 19
41793 13179 1
41793 29566 7
29566 27733 6
27733 17213 6
13179 7915 11
17213 43872 12
13179 8956 21
4381 2339 26
2339 16711 24
16711 35329 4
16711 28373 18
28373 27863 6
28373 4588 17
4588 10185 2
4588 44033 3
4588 44873 11
4588 40973 14
40973 18199 22
18199 49241 14
10185 21097 22
40973 23257 22
40973 34275 22
19255 2835 26
2835 1829 23
1829 12028 12
10207 3500 26
29816 3986 26
8544 5215 26
5215 32665 7
5215 47944 9
5215 18991 10
18991 13498 7
47944 19422 18
18991 23697 18
13498 41193 19
5215 5867 22
5867 5719 18
5719 14806 3
5537 5604 26
10806 5870 26
5870 11295 8
5870 13394 19
13394 8692 8
13394 6596 17
665 6382 26
6382 7428 11
7428 8826 7
8826 23292 10
7428 33352 11
8826 45080 12
45080 33847 5
33847 23234 9
23234 4487 9
23234 9221 11
9221 40909 10
4487 3816 13
4487 5011 17
5011 20707 8
20707 31248 2
31248 49051 8
20707 27549 15
27549 22975 10
4487 3609 18
33352 18899 19
40909 40883 20
40883 14250 7
23292 37734 22
37734 30508 22
30508 2353 13
2353 11515 1
2353 3400 9
3400 6902 17
6902 10955 17
11515 45053 19
5011 26851 23
26851 30106 20
2353 10882 24
10882 7206 14
7206 14084 13
7206 6706 20
7206 36359 21
14084 20586 22
2353 20941 25
5011 623 26
623 36589 19
623 8411 25
10699 8746 26
8746 48476 10
8746 6508 17
24961 10086 26
10086 21301 22
5145 10231 26
5640 12827 26
12827 48038 20
48038 39002 3
48038 26257 4
48038 7942 8
7942 21698 7
39002 12034 15
12034 42413 13
39002 30476 16
30476 2166 15
2166 33469 9
2166 25992 12
7942 47301 20
21698 24129 23
15881 14177 26
14177 33446 13
33446 26366 8
33446 21334 13
21334 20169 3
20169 4115 17
26366 16040 17
16040 22699 14
22699 38762 5
14177 16386 24
26366 21013 24
26366 24139 24
24129 14262 26
14262 5562 4
14262 34913 8
14262 12966 9
12966 12970 10
12966 30878 15
30878 2262 1
2262 8484 6
30878 31414 13
34913 33730 21
