Algorithm: Prim's MST
MST edges:
0 1868 1
1868 3949 4
3949 1966 4
3949 7243 4
0 62 5
1868 3567 5
0 23 10
23 126 5
126 987 7
23 4705 10
4705 9217 8
126 158 13
23 894 13
894 5259 3
5259 4252 4
4705 7859 13
4705 1002 14
1002 5096 10
5096 4067 1
5096 5784 5
158 3788 14
126 4962 14
4962 6519 12
3788 9311 15
62 141 16
4067 1450 16
1450 2952 5
2952 7633 2
1868 2251 16
2251 3165 14
3165 5077 6
7859 5073 16
1966 3365 17
3365 6763 5
3365 3488 10
3488 8114 1
8114 3959 1
3488 1210 2
3488 7079 3
3488 7802 5
7079 5851 8
5851 7741 7
7741 4672 1
7802 7378 14
4672 437 15
437 2538 1
437 157 10
157 7184 5
7184 2338 9
2338 5022 4
157 2382 14
2338 6600 14
6600 891 6
891 7350 3
891 669 8
6600 496 12
496 7247 1
891 938 13
938 1053 15
1053 8215 1
1053 4740 6
1053 2831 12
891 1074 15
3365 4262 15
7184 5274 15
891 962 16
7802 6730 16
6730 9040 2
6730 5770 11
6730 6350 11
6350 7765 15
7765 4224 8
9040 1368 16
1368 8833 3
8833 5927 6
5927 4583 5
8833 8801 11
8801 5752 8
5927 9503 12
9503 2062 13
2062 2086 14
2086 6499 8
2086 4275 13
1368 8786 14
8786 5415 7
7802 9608 16
9608 6632 6
9608 5957 9
5957 8939 1
8939 8126 12
8126 8143 11
6632 2643 13
157 271 17
271 3451 7
6600 4734 17
1868 6757 17
3567 7702 17
5784 8798 17
1002 2286 18
8143 3482 18
3482 376 1
376 40 8
40 8023 9
8023 2016 1
2016 3652 8
3652 6021 1
3652 9038 6
9038 2774 3
376 500 10
40 1030 13
9038 3195 14
2774 3280 15
40 65 17
7243 3777 18
158 5620 18
5620 424 8
424 1119 7
1119 1087 9
1087 2193 11
2286 7374 18
5851 9238 18
9238 4519 6
4519 8468 14
8468 4359 10
8468 7900 10
0 233 19
233 914 15
914 8376 16
8376 1105 17
1105 1339 2
1339 7095 1
7095 624 15
1105 1490 15
1490 4768 14
7095 3917 16
3917 291 4
291 530 6
530 226 4
226 992 5
530 585 10
291 7029 17
7029 2782 13
2782 197 17
197 8989 9
8989 6191 12
197 6666 15
1105 6797 18
6763 961 19
961 7638 3
7638 66 3
66 151 2
151 677 2
151 8343 12
8343 5948 9
5948 322 13
322 9344 9
126 1096 19
1096 1962 4
6797 1545 19
1545 8761 9
3488 2047 19
2047 4420 9
2047 5660 14
4420 719 15
719 5844 5
4420 6289 17
6289 9149 13
9149 8034 15
8034 2135 3
9608 3573 19
3573 6169 2
6169 5520 15
5415 4225 19
1002 4553 19
8939 4658 19
4658 2536 6
2536 7035 3
4658 471 10
471 1345 2
4658 1782 19
1782 7090 8
1782 7869 12
7869 337 4
337 1363 3
1782 942 15
942 1386 1
942 4035 4
942 4450 5
7869 9134 15
9134 6497 1
9134 7472 4
9134 9169 9
7472 9474 9
9474 2162 7
2162 3140 2
3140 3080 8
3080 4492 4
4492 1922 3
3080 2422 8
2422 932 2
1922 2757 8
2162 8805 9
8805 620 9
