Algorithm: Greedy Vertex Coloring
Vertex colors:
0 0
1 2
2 0
3 1
4 0
5 1
6 0
7 2
8 0
9 2
10 1
11 2
12 0
13 1
14 2
15 3
16 0
17 1
18 2
19 0
20 1
21 2
22 1
23 0
24 2
25 0
26 1
27 0
28 1
29 2
30 0
31 1
32 0
33 1
34 0
35 1
36 2
37 1
38 2
39 1
40 0
41 1
42 2
43 0
44 2
45 3
46 0
47 2
48 0
49 2
50 1
51 0
52 1
53 0
54 1
55 2
56 1
57 3
58 1
59 0
60 1
61 2
62 3
63 0
64 1
65 3
66 2
67 1
68 0
69 1
70 0
71 1
72 2
73 1
74 2
75 0
76 2
77 1
78 0
79 1
80 2
81 0
82 1
83 2
84 0
85 2
86 0
87 1
88 2
89 0
90 1
91 0
92 1
93 0
94 2
95 1
96 2
97 0
98 1
99 2
Colors used: 4
Execution time: 0.0614 ms
